State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Alaska,6/6/2020,"7,081",5/30/2020,"47,123","308,137",15.29
Alaska,6/13/2020,"6,797",6/6/2020,"45,792","308,137",14.86
Alaska,6/20/2020,"6,757",6/13/2020,"44,380","308,137",14.4
Alaska,6/27/2020,"6,467",6/20/2020,"43,208","308,137",14.02
Alaska,7/4/2020,"6,124",6/27/2020,"42,110","308,137",13.67
Alaska,7/11/2020,"9,572",7/4/2020,"43,225","308,691",14
Alaska,7/18/2020,"6,606",7/11/2020,"41,685","308,691",13.5
Alaska,7/25/2020,"6,069",7/18/2020,"40,596","308,691",13.15
Alaska,8/1/2020,"5,195",7/25/2020,"39,002","308,691",12.63
Alaska,8/8/2020,"4,619",8/1/2020,"34,442","308,691",11.16
Alaska,8/15/2020,"4,731",8/8/2020,"32,899","308,691",10.66
Alaska,8/22/2020,"4,344",8/15/2020,"31,673","308,691",10.26
Alaska,8/29/2020,"4,057",8/22/2020,"29,524","308,691",9.56
Alaska,9/5/2020,"3,817",8/29/2020,"27,536","308,691",8.92
Alaska,9/12/2020,"3,593",9/5/2020,"25,762","308,691",8.35
Alaska,9/19/2020,"3,631",9/12/2020,"24,089","308,691",7.8
Alaska,9/26/2020,"3,600",9/19/2020,"22,532","308,691",7.3
Alaska,10/3/2020,"3,719",9/26/2020,"21,131","308,691",6.85
Alaska,10/10/2020,"5,708",10/3/2020,"20,264","308,959",6.56
Alaska,10/17/2020,"4,608",10/10/2020,"19,754","308,959",6.39
Alaska,10/24/2020,"4,388",10/17/2020,"18,974","308,959",6.14
Alaska,10/31/2020,"4,451",10/24/2020,"18,867","308,959",6.11
Arkansas,1/4/2020,"2,576",12/28/2019,"15,323","1,193,713",1.28
Arkansas,1/11/2020,"2,493",1/4/2020,"15,536","1,195,622",1.3
Arkansas,1/18/2020,"1,729",1/11/2020,"13,229","1,195,622",1.11
Arkansas,1/25/2020,"1,683",1/18/2020,"12,331","1,195,622",1.03
Arkansas,2/1/2020,"1,837",1/25/2020,"13,210","1,195,622",1.1
Arkansas,2/8/2020,"1,724",2/1/2020,"12,964","1,195,622",1.08
Arkansas,2/15/2020,"1,602",2/8/2020,"12,979","1,195,622",1.09
Arkansas,2/22/2020,"1,055",2/15/2020,"12,546","1,195,622",1.05
Arkansas,2/29/2020,"1,418",2/22/2020,"12,244","1,195,622",1.02
Arkansas,3/7/2020,"1,843",2/29/2020,"11,618","1,195,622",0.97
Arkansas,3/14/2020,"1,382",3/7/2020,"11,514","1,195,622",0.96
Arkansas,3/21/2020,"9,275",3/14/2020,"10,988","1,195,622",0.92
Arkansas,3/28/2020,"27,756",3/21/2020,"16,148","1,195,622",1.35
Arkansas,4/4/2020,"62,086",3/28/2020,"36,499","1,195,622",3.05
Arkansas,4/11/2020,"35,629",4/4/2020,"66,511","1,196,468",5.56
Arkansas,4/18/2020,"25,404",4/11/2020,"91,278","1,196,468",7.63
Arkansas,4/25/2020,"17,671",4/18/2020,"109,337","1,196,468",9.14
Arkansas,5/2/2020,"13,448",4/25/2020,"119,332","1,196,468",9.97
Arkansas,5/9/2020,"13,152",5/2/2020,"122,522","1,196,468",10.24
Arkansas,5/16/2020,"11,427",5/9/2020,"122,408","1,196,468",10.23
Arkansas,5/23/2020,"10,825",5/16/2020,"120,043","1,196,468",10.03
Arkansas,5/30/2020,"8,481",5/23/2020,"115,365","1,196,468",9.64
Arkansas,6/6/2020,"9,663",5/30/2020,"115,482","1,196,468",9.65
Arkansas,6/13/2020,"9,381",6/6/2020,"113,623","1,196,468",9.5
Arkansas,6/20/2020,"9,669",6/13/2020,"112,189","1,196,468",9.38
Arkansas,6/27/2020,"10,395",6/20/2020,"108,691","1,196,468",9.08
Arkansas,7/4/2020,"10,832",6/27/2020,"104,692","1,196,468",8.75
Arkansas,7/11/2020,"14,155",7/4/2020,"99,083","1,197,760",8.27
Arkansas,7/18/2020,"15,932",7/11/2020,"100,026","1,197,760",8.35
Arkansas,7/25/2020,"15,257",7/18/2020,"94,113","1,197,760",7.86
Arkansas,8/1/2020,"12,750",7/25/2020,"79,564","1,197,760",6.64
Arkansas,8/8/2020,"5,908",8/1/2020,"62,402","1,197,760",5.21
Arkansas,8/15/2020,"6,351",8/8/2020,"52,946","1,197,760",4.42
Arkansas,8/22/2020,"5,660",8/15/2020,"48,069","1,197,760",4.01
Arkansas,8/29/2020,"5,337",8/22/2020,"44,564","1,197,760",3.72
Arkansas,9/5/2020,"5,624",8/29/2020,"42,795","1,197,760",3.57
Arkansas,9/12/2020,"4,585",9/5/2020,"38,926","1,197,760",3.25
Arkansas,9/19/2020,"5,778",9/12/2020,"40,856","1,197,760",3.41
Arkansas,9/26/2020,"6,137",9/19/2020,"37,975","1,197,760",3.17
Arkansas,10/3/2020,"5,484",9/26/2020,"36,883","1,197,760",3.08
Arkansas,10/10/2020,"5,719",10/3/2020,"32,303","1,197,760",2.7
Arkansas,10/17/2020,"4,318",10/10/2020,"30,873","1,199,243",2.57
Arkansas,10/24/2020,"4,019",10/17/2020,"26,311","1,199,243",2.19
Arkansas,10/31/2020,"4,014",10/24/2020,"27,441","1,199,243",2.29
Arizona,1/4/2020,"3,132",12/28/2019,"17,991","2,864,180",0.63
Arizona,1/11/2020,"4,654",1/4/2020,"18,259","2,864,180",0.64
Arizona,1/18/2020,"4,152",1/11/2020,"18,421","2,864,180",0.64
Arizona,1/25/2020,"3,475",1/18/2020,"18,401","2,864,180",0.64
Arizona,2/1/2020,"3,807",1/25/2020,"18,854","2,864,180",0.66
Arizona,2/8/2020,"3,636",2/1/2020,"18,461","2,864,180",0.64
Arizona,2/15/2020,"3,538",2/8/2020,"18,516","2,864,180",0.65
Arizona,2/22/2020,"3,151",2/15/2020,"18,217","2,864,180",0.64
Arizona,2/29/2020,"3,086",2/22/2020,"18,137","2,864,180",0.63
Arizona,3/7/2020,"3,357",2/29/2020,"17,593","2,864,180",0.61
Arizona,3/14/2020,"3,844",3/7/2020,"17,595","2,864,180",0.61
Arizona,3/21/2020,"29,348",3/14/2020,"18,108","2,864,180",0.63
Arizona,3/28/2020,"88,940",3/21/2020,"26,387","2,864,180",0.92
Arizona,4/4/2020,"132,428",3/28/2020,"62,597","2,864,180",2.19
Arizona,4/11/2020,"98,531",4/4/2020,"120,592","2,864,180",4.21
Arizona,4/18/2020,"72,457",4/11/2020,"170,262","2,885,408",5.9
Arizona,4/25/2020,"52,581",4/18/2020,"196,401","2,885,408",6.81
Arizona,5/2/2020,"43,023",4/25/2020,"218,760","2,885,408",7.58
Arizona,5/9/2020,"31,570",5/2/2020,"228,806","2,885,408",7.93
Arizona,5/16/2020,"31,957",5/9/2020,"230,566","2,885,408",7.99
Arizona,5/23/2020,"26,868",5/16/2020,"217,968","2,885,408",7.55
Arizona,5/30/2020,"22,012",5/23/2020,"209,944","2,885,408",7.28
Arizona,6/6/2020,"24,367",5/30/2020,"210,605","2,885,408",7.3
Arizona,6/13/2020,"22,419",6/6/2020,"209,529","2,885,408",7.26
Arizona,6/20/2020,"25,886",6/13/2020,"217,934","2,885,408",7.55
Arizona,6/27/2020,"26,328",6/20/2020,"217,505","2,885,408",7.54
Arizona,7/4/2020,"25,774",6/27/2020,"216,603","2,885,408",7.51
Arizona,7/11/2020,"28,695",7/4/2020,"227,419","2,905,807",7.83
Arizona,7/18/2020,"21,441",7/11/2020,"229,352","2,905,807",7.89
Arizona,7/25/2020,"19,063",7/18/2020,"230,822","2,905,807",7.94
Arizona,8/1/2020,"15,561",7/25/2020,"232,497","2,905,807",8
Arizona,8/8/2020,"11,655",8/1/2020,"219,459","2,905,807",7.55
Arizona,8/15/2020,"12,775",8/8/2020,"211,212","2,905,807",7.27
Arizona,8/22/2020,"12,487",8/15/2020,"205,978","2,905,807",7.09
Arizona,8/29/2020,"11,705",8/22/2020,"202,716","2,905,807",6.98
Arizona,9/5/2020,"11,343",8/29/2020,"200,184","2,905,807",6.89
Arizona,9/12/2020,"9,979",9/5/2020,"194,164","2,905,807",6.68
Arizona,9/19/2020,"9,065",9/12/2020,"190,507","2,905,807",6.56
Arizona,9/26/2020,"8,208",9/19/2020,"175,837","2,905,807",6.05
Arizona,10/3/2020,"7,966",9/26/2020,"168,948","2,905,807",5.81
Arizona,10/10/2020,"7,925",10/3/2020,"151,436","2,927,942",5.17
Arizona,10/17/2020,"7,053",10/10/2020,"137,816","2,927,942",4.71
Arizona,10/24/2020,"6,813",10/17/2020,"125,852","2,927,942",4.3
Arizona,10/31/2020,"6,389",10/24/2020,"112,425","2,927,942",3.84
California,1/4/2020,"36,720",12/28/2019,"359,606","17,203,829",2.09
California,1/11/2020,"51,993",1/4/2020,"356,376","17,265,039",2.06
California,1/18/2020,"64,858",1/11/2020,"376,947","17,265,039",2.18
California,1/25/2020,"45,596",1/18/2020,"336,269","17,265,039",1.95
California,2/1/2020,"43,458",1/25/2020,"388,341","17,265,039",2.25
California,2/8/2020,"40,392",2/1/2020,"359,156","17,265,039",2.08
California,2/15/2020,"43,445",2/8/2020,"375,305","17,265,039",2.17
California,2/22/2020,"34,979",2/15/2020,"349,252","17,265,039",2.02
California,2/29/2020,"41,678",2/22/2020,"369,988","17,265,039",2.14
California,3/7/2020,"43,385",2/29/2020,"378,864","17,265,039",2.19
California,3/14/2020,"57,606",3/7/2020,"351,344","17,265,039",2.04
California,3/21/2020,"186,333",3/14/2020,"421,912","17,265,039",2.44
California,3/28/2020,"1,058,325",3/21/2020,"400,565","17,265,039",2.32
California,4/4/2020,"918,814",3/28/2020,"1,076,761","17,265,039",6.24
California,4/11/2020,"655,472",4/4/2020,"1,429,954","17,330,010",8.25
California,4/18/2020,"528,360",4/11/2020,"2,422,458","17,330,010",13.98
California,4/25/2020,"325,343",4/18/2020,"1,887,575","17,330,010",10.89
California,5/2/2020,"316,257",4/25/2020,"4,808,361","17,330,010",27.75
California,5/9/2020,"212,667",5/2/2020,"2,850,204","17,330,010",16.45
California,5/16/2020,"244,431",5/9/2020,"3,565,153","17,330,010",20.57
California,5/23/2020,"203,262",5/16/2020,"2,155,310","17,330,010",12.44
California,5/30/2020,"228,634",5/23/2020,"2,752,401","17,330,010",15.88
California,6/6/2020,"255,836",5/30/2020,"2,812,484","17,330,010",16.23
California,6/13/2020,"241,424",6/6/2020,"3,001,413","17,330,010",17.32
California,6/20/2020,"284,494",6/13/2020,"2,779,425","17,330,010",16.04
California,6/27/2020,"277,362",6/20/2020,"2,901,601","17,330,010",16.74
California,7/4/2020,"264,791",6/27/2020,"2,758,474","17,330,010",15.92
California,7/11/2020,"284,914",7/4/2020,"2,946,807","17,396,834",16.94
California,7/18/2020,"289,594",7/11/2020,"2,704,904","17,396,834",15.55
California,7/25/2020,"244,653",7/18/2020,"3,140,619","17,396,834",18.05
California,8/1/2020,"222,043",7/25/2020,"2,789,482","17,396,834",16.03
California,8/8/2020,"202,509",8/1/2020,"2,961,188","17,396,834",17.02
California,8/15/2020,"190,354",8/8/2020,"2,806,840","17,396,834",16.13
California,8/22/2020,"196,916",8/15/2020,"2,837,991","17,396,834",16.31
California,8/29/2020,"219,563",8/22/2020,"2,570,005","17,396,834",14.77
California,9/5/2020,"243,404",8/29/2020,"3,012,587","17,396,834",17.32
California,9/12/2020,"226,004",9/5/2020,"2,724,331","17,396,834",15.66
California,9/19/2020,"226,179",9/12/2020,"2,802,145","17,396,834",16.11
California,9/26/2020,"171,220",9/19/2020,"2,274,592","17,396,834",13.07
California,10/3/2020,"148,213",9/26/2020,"2,212,779","17,396,834",12.72
California,10/10/2020,"176,083",10/3/2020,"2,011,273","17,473,068",11.51
California,10/17/2020,"159,876",10/10/2020,"1,836,240","17,473,068",10.51
California,10/24/2020,"152,176",10/17/2020,"1,653,245","17,473,068",9.46
California,10/31/2020,"152,480",10/24/2020,"1,561,263","17,473,068",8.94
Colorado,1/4/2020,"2,431",12/28/2019,"21,391","2,635,231",0.81
Colorado,1/11/2020,"3,001",1/4/2020,"21,492","2,650,335",0.81
Colorado,1/18/2020,"2,522",1/11/2020,"21,104","2,650,335",0.8
Colorado,1/25/2020,"2,164",1/18/2020,"22,738","2,650,335",0.86
Colorado,2/1/2020,"2,049",1/25/2020,"21,560","2,650,335",0.81
Colorado,2/8/2020,"2,482",2/1/2020,"22,881","2,650,335",0.86
Colorado,2/15/2020,"2,209",2/8/2020,"22,076","2,650,335",0.83
Colorado,2/22/2020,"1,862",2/15/2020,"23,694","2,650,335",0.89
Colorado,2/29/2020,"1,681",2/22/2020,"22,409","2,650,335",0.85
Colorado,3/7/2020,"1,865",2/29/2020,"22,908","2,650,335",0.86
Colorado,3/14/2020,"2,321",3/7/2020,"21,260","2,650,335",0.8
Colorado,3/21/2020,"19,774",3/14/2020,"21,309","2,650,335",0.8
Colorado,3/28/2020,"61,838",3/21/2020,"21,956","2,650,335",0.83
Colorado,4/4/2020,"46,326",3/28/2020,"73,584","2,650,335",2.78
Colorado,4/11/2020,"104,572",4/4/2020,"166,593","2,666,358",6.25
Colorado,4/18/2020,"67,639",4/11/2020,"171,434","2,666,358",6.43
Colorado,4/25/2020,"38,662",4/18/2020,"228,713","2,666,358",8.58
Colorado,5/2/2020,"28,360",4/25/2020,"228,683","2,666,358",8.58
Colorado,5/9/2020,"22,732",5/2/2020,"261,951","2,666,358",9.82
Colorado,5/16/2020,"18,054",5/9/2020,"246,507","2,666,358",9.25
Colorado,5/23/2020,"15,719",5/16/2020,"265,499","2,666,358",9.96
Colorado,5/30/2020,"12,519",5/23/2020,"244,600","2,666,358",9.17
Colorado,6/6/2020,"13,098",5/30/2020,"263,810","2,666,358",9.89
Colorado,6/13/2020,"10,382",6/6/2020,"242,785","2,666,358",9.11
Colorado,6/20/2020,"10,013",6/13/2020,"259,341","2,666,358",9.73
Colorado,6/27/2020,"8,646",6/20/2020,"237,236","2,666,358",8.9
Colorado,7/4/2020,"7,928",6/27/2020,"246,108","2,666,358",9.23
Colorado,7/11/2020,"10,554",7/4/2020,"228,224","2,681,376",8.51
Colorado,7/18/2020,"8,531",7/11/2020,"239,098","2,681,376",8.92
Colorado,7/25/2020,"8,037",7/18/2020,"224,204","2,681,376",8.36
Colorado,8/1/2020,"7,167",7/25/2020,"224,130","2,681,376",8.36
Colorado,8/8/2020,"6,231",8/1/2020,"198,702","2,681,376",7.41
Colorado,8/15/2020,"6,971",8/8/2020,"197,296","2,681,376",7.36
Colorado,8/22/2020,"6,483",8/15/2020,"180,390","2,681,376",6.73
Colorado,8/29/2020,"5,863",8/22/2020,"177,822","2,681,376",6.63
Colorado,9/5/2020,"6,031",8/29/2020,"162,261","2,681,376",6.05
Colorado,9/12/2020,"5,171",9/5/2020,"157,091","2,681,376",5.86
Colorado,9/19/2020,"5,115",9/12/2020,"151,250","2,681,376",5.64
Colorado,9/26/2020,"4,862",9/19/2020,"143,856","2,681,376",5.37
Colorado,10/3/2020,"5,919",9/26/2020,"127,012","2,681,376",4.74
Colorado,10/10/2020,"6,406",10/3/2020,"124,333","2,692,685",4.62
Colorado,10/17/2020,"5,759",10/10/2020,"111,822","2,692,685",4.15
Colorado,10/24/2020,"6,071",10/17/2020,"105,759","2,692,685",3.93
Colorado,10/31/2020,"7,138",10/24/2020,"96,782","2,692,685",3.59
Connecticut,1/4/2020,"7,852",12/28/2019,"46,562","1,655,540",2.81
Connecticut,1/11/2020,"5,986",1/4/2020,"47,540","1,654,391",2.87
Connecticut,1/18/2020,"3,776",1/11/2020,"42,483","1,654,391",2.57
Connecticut,1/25/2020,"2,949",1/18/2020,"41,760","1,654,391",2.52
Connecticut,2/1/2020,"2,994",1/25/2020,"41,725","1,654,391",2.52
Connecticut,2/8/2020,"2,944",2/1/2020,"41,633","1,654,391",2.52
Connecticut,2/15/2020,"2,520",2/8/2020,"39,384","1,654,391",2.38
Connecticut,2/22/2020,"2,435",2/15/2020,"41,691","1,654,391",2.52
Connecticut,2/29/2020,"2,843",2/22/2020,"42,168","1,654,391",2.55
Connecticut,3/7/2020,"2,527",2/29/2020,"40,638","1,654,391",2.46
Connecticut,3/14/2020,"3,440",3/7/2020,"39,786","1,654,391",2.4
Connecticut,3/21/2020,"25,100",3/14/2020,"44,194","1,654,391",2.67
Connecticut,3/28/2020,"33,227",3/21/2020,"80,861","1,654,391",4.89
Connecticut,4/4/2020,"33,464",3/28/2020,"147,939","1,654,391",8.94
Connecticut,4/11/2020,"34,050",4/4/2020,"189,196","1,653,302",11.44
Connecticut,4/18/2020,"102,808",4/11/2020,"306,047","1,653,302",18.51
Connecticut,4/25/2020,"33,041",4/18/2020,"309,111","1,653,302",18.7
Connecticut,5/2/2020,"36,138",4/25/2020,"297,549","1,653,302",18
Connecticut,5/9/2020,"30,046",5/2/2020,"319,529","1,653,302",19.33
Connecticut,5/16/2020,"25,960",5/9/2020,"297,088","1,653,302",17.97
Connecticut,5/23/2020,"16,603",5/16/2020,"272,695","1,653,302",16.49
Connecticut,5/30/2020,"14,208",5/23/2020,"248,663","1,653,302",15.04
Connecticut,6/6/2020,"15,366",5/30/2020,"269,117","1,653,302",16.28
Connecticut,6/13/2020,"11,852",6/6/2020,"260,518","1,653,302",15.76
Connecticut,6/20/2020,"10,411",6/13/2020,"250,774","1,653,302",15.17
Connecticut,6/27/2020,"10,133",6/20/2020,"247,195","1,653,302",14.95
Connecticut,7/4/2020,"12,267",6/27/2020,"251,926","1,653,302",15.24
Connecticut,7/11/2020,"9,955",7/4/2020,"254,461","1,652,033",15.4
Connecticut,7/18/2020,"11,667",7/11/2020,"249,732","1,652,033",15.12
Connecticut,7/25/2020,"11,181",7/18/2020,"251,760","1,652,033",15.24
Connecticut,8/1/2020,"10,537",7/25/2020,"252,297","1,652,033",15.27
Connecticut,8/8/2020,"7,431",8/1/2020,"231,207","1,652,033",14
Connecticut,8/15/2020,"9,432",8/8/2020,"224,521","1,652,033",13.59
Connecticut,8/22/2020,"6,269",8/15/2020,"230,642","1,652,033",13.96
Connecticut,8/29/2020,"5,404",8/22/2020,"242,193","1,652,033",14.66
Connecticut,9/5/2020,"4,741",8/29/2020,"196,677","1,652,033",11.91
Connecticut,9/12/2020,"5,175",9/5/2020,"167,339","1,652,033",10.13
Connecticut,9/19/2020,"5,141",9/12/2020,"175,902","1,652,033",10.65
Connecticut,9/26/2020,"5,015",9/19/2020,"161,782","1,652,033",9.79
Connecticut,10/3/2020,"4,617",9/26/2020,"137,325","1,652,033",8.31
Connecticut,10/10/2020,"4,734",10/3/2020,"121,369","1,651,883",7.35
Connecticut,10/17/2020,"4,395",10/10/2020,"96,689","1,651,883",5.85
Connecticut,10/24/2020,"6,016",10/17/2020,"101,110","1,651,883",6.12
Connecticut,10/31/2020,"4,878",10/24/2020,"96,577","1,651,883",5.85
Delaware,1/4/2020,875,12/28/2019,"6,881","441,663",1.56
Delaware,1/11/2020,"1,107",1/4/2020,"7,083","443,288",1.6
Delaware,1/18/2020,830,1/11/2020,"5,967","443,288",1.35
Delaware,1/25/2020,674,1/18/2020,"5,703","443,288",1.29
Delaware,2/1/2020,622,1/25/2020,"6,830","443,288",1.54
Delaware,2/8/2020,608,2/1/2020,"5,888","443,288",1.33
Delaware,2/15/2020,610,2/8/2020,"5,917","443,288",1.33
Delaware,2/22/2020,632,2/15/2020,"5,921","443,288",1.34
Delaware,2/29/2020,524,2/22/2020,"6,742","443,288",1.52
Delaware,3/7/2020,518,2/29/2020,"5,480","443,288",1.24
Delaware,3/14/2020,472,3/7/2020,"5,310","443,288",1.2
Delaware,3/21/2020,"10,776",3/14/2020,"5,297","443,288",1.19
Delaware,3/28/2020,"19,137",3/21/2020,"11,506","443,288",2.6
Delaware,4/4/2020,"18,851",3/28/2020,"19,442","443,288",4.39
Delaware,4/11/2020,"13,258",4/4/2020,"29,577","445,741",6.64
Delaware,4/18/2020,"9,446",4/11/2020,"38,451","445,741",8.63
Delaware,4/25/2020,"7,947",4/18/2020,"44,977","445,741",10.09
Delaware,5/2/2020,"6,297",4/25/2020,"52,501","445,741",11.78
Delaware,5/9/2020,"5,197",5/2/2020,"50,205","445,741",11.26
Delaware,5/16/2020,"5,554",5/9/2020,"51,010","445,741",11.44
Delaware,5/23/2020,"4,651",5/16/2020,"50,780","445,741",11.39
Delaware,5/30/2020,"3,052",5/23/2020,"55,172","445,741",12.38
Delaware,6/6/2020,"3,037",5/30/2020,"49,659","445,741",11.14
Delaware,6/13/2020,"2,516",6/6/2020,"47,115","445,741",10.57
Delaware,6/20/2020,"2,797",6/13/2020,"45,112","445,741",10.12
Delaware,6/27/2020,"2,771",6/20/2020,"44,034","445,741",9.88
Delaware,7/4/2020,"2,791",6/27/2020,"45,598","445,741",10.23
Delaware,7/11/2020,"3,167",7/4/2020,"42,194","446,976",9.44
Delaware,7/18/2020,"2,720",7/11/2020,"41,572","446,976",9.3
Delaware,7/25/2020,"2,563",7/18/2020,"40,923","446,976",9.16
Delaware,8/1/2020,"2,133",7/25/2020,"42,352","446,976",9.48
Delaware,8/8/2020,"1,760",8/1/2020,"36,026","446,976",8.06
Delaware,8/15/2020,"1,927",8/8/2020,"35,186","446,976",7.87
Delaware,8/22/2020,"1,678",8/15/2020,"33,171","446,976",7.42
Delaware,8/29/2020,"1,577",8/22/2020,"31,974","446,976",7.15
Delaware,9/5/2020,"1,629",8/29/2020,"32,327","446,976",7.23
Delaware,9/12/2020,"1,598",9/5/2020,"29,534","446,976",6.61
Delaware,9/19/2020,"1,775",9/12/2020,"28,983","446,976",6.48
Delaware,9/26/2020,"1,815",9/19/2020,"26,824","446,976",6
Delaware,10/3/2020,"1,776",9/26/2020,"24,183","446,976",5.41
Delaware,10/10/2020,"2,010",10/3/2020,"21,355","451,429",4.73
Delaware,10/17/2020,"1,715",10/10/2020,"19,228","451,429",4.26
Delaware,10/24/2020,"1,657",10/17/2020,"17,349","451,429",3.84
Delaware,10/31/2020,"1,578",10/24/2020,"16,181","451,429",3.58
District of Columbia,1/4/2020,481,12/28/2019,"7,198","576,878",1.25
District of Columbia,1/11/2020,706,1/4/2020,"7,102","578,035",1.23
District of Columbia,1/18/2020,594,1/11/2020,"7,271","578,035",1.26
District of Columbia,1/25/2020,534,1/18/2020,"7,149","578,035",1.24
District of Columbia,2/1/2020,539,1/25/2020,"7,139","578,035",1.24
District of Columbia,2/8/2020,508,2/1/2020,"7,156","578,035",1.24
District of Columbia,2/15/2020,473,2/8/2020,"7,079","578,035",1.22
District of Columbia,2/22/2020,422,2/15/2020,"7,003","578,035",1.21
District of Columbia,2/29/2020,452,2/22/2020,"7,020","578,035",1.21
District of Columbia,3/7/2020,471,2/29/2020,"6,792","578,035",1.18
